ID ;BLR-698;Black 101;Az-142N;SicL1600;H4G;EL9914;L3912C;L0962HD;CG GN;ZiePig G;SY3CN;L1100;L2110;L1010;HeG8735;By130M;By320;By316;By610;EP-28;EP08;Blue PigBL;DPP SR2P;VR F5RK;PO2930;CP4403;UV12;ChV5800;L;a;b
PR/1920/1;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.1;53.06;-9.58;-38.16
PR/1935/17;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;3.0;0.0;0.0;0.0;2.8;0.0;0.0;0.0;0.0;0.0;0.0;42.32;-9.14;-18.9
PR/1893/1;10.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.61;0.12;-3.03
PR/1885/11;15.0;0.0;0.0;15.0;0.0;10.0;0.75;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77.99;9.51;74.12
PR/1924/5;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.3;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;40.78;-7.7;-17.47
PR/1932/2;25.0;0.0;0.0;0.0;5.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;68.69;22.97;46.47
PR/1892/2;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.24;-0.53;0.04
PR/1922/10;7.5;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;59.92;35.14;52.61
PR/1885/13;15.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;0.3;0.0;0.0;10.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.62;8.53;75.38
PR/1924/4;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1;0.0;3.3;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;41.77;-8.07;-17.69
PR/1884/2;10.0;3.7;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.93;-1.35;-2.68
PR/1932/9;50.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;5.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;69.27;36.4;54.85
